# nx number
641
# nz number
601
# bx1 coords
1.170000000e+04 -5.775555556e+03
1.170000000e+04 -5.764448200e+03
1.170000000e+04 -5.753340844e+03
1.170000000e+04 -5.742233488e+03
1.170000000e+04 -5.731126133e+03
1.170000000e+04 -5.720018777e+03
1.170000000e+04 -5.708911421e+03
1.170000000e+04 -5.697804066e+03
1.170000000e+04 -5.686696710e+03
1.170000000e+04 -5.675589354e+03
1.170000000e+04 -5.664481999e+03
1.170000000e+04 -5.653374643e+03
1.170000000e+04 -5.642267287e+03
1.170000000e+04 -5.631159932e+03
1.170000000e+04 -5.620052576e+03
1.170000000e+04 -5.608945220e+03
1.170000000e+04 -5.597837865e+03
1.170000000e+04 -5.586730509e+03
1.170000000e+04 -5.575623153e+03
1.170000000e+04 -5.564515797e+03
1.170000000e+04 -5.553408442e+03
1.170000000e+04 -5.542301086e+03
1.170000000e+04 -5.531193730e+03
1.170000000e+04 -5.520086375e+03
1.170000000e+04 -5.508979019e+03
1.170000000e+04 -5.497871663e+03
1.170000000e+04 -5.486764308e+03
1.170000000e+04 -5.475656952e+03
1.170000000e+04 -5.464549596e+03
1.170000000e+04 -5.453442241e+03
1.170000000e+04 -5.442334885e+03
1.170000000e+04 -5.431227529e+03
1.170000000e+04 -5.420120173e+03
1.170000000e+04 -5.409012818e+03
1.170000000e+04 -5.397905462e+03
1.170000000e+04 -5.386798106e+03
1.170000000e+04 -5.375690751e+03
1.170000000e+04 -5.364583395e+03
1.170000000e+04 -5.353476039e+03
1.170000000e+04 -5.342368684e+03
1.170000000e+04 -5.331261328e+03
1.170000000e+04 -5.320153972e+03
1.170000000e+04 -5.309046617e+03
1.170000000e+04 -5.297939261e+03
1.170000000e+04 -5.286831905e+03
1.170000000e+04 -5.275724549e+03
1.170000000e+04 -5.264617194e+03
1.170000000e+04 -5.253509838e+03
1.170000000e+04 -5.242402482e+03
1.170000000e+04 -5.231295127e+03
1.170000000e+04 -5.220187771e+03
1.170000000e+04 -5.209080415e+03
1.170000000e+04 -5.197973060e+03
1.170000000e+04 -5.186865704e+03
1.170000000e+04 -5.175758348e+03
1.170000000e+04 -5.164650993e+03
1.170000000e+04 -5.153543637e+03
1.170000000e+04 -5.142436281e+03
1.170000000e+04 -5.131328926e+03
1.170000000e+04 -5.120221570e+03
1.170000000e+04 -5.109114214e+03
1.170000000e+04 -5.098006858e+03
1.170000000e+04 -5.086899503e+03
1.170000000e+04 -5.075792147e+03
1.170000000e+04 -5.064684791e+03
1.170000000e+04 -5.053577436e+03
1.170000000e+04 -5.042470080e+03
1.170000000e+04 -5.031362724e+03
1.170000000e+04 -5.020255369e+03
1.170000000e+04 -5.009148013e+03
1.170000000e+04 -4.998040657e+03
1.170000000e+04 -4.986933302e+03
1.170000000e+04 -4.975825946e+03
1.170000000e+04 -4.964718590e+03
1.170000000e+04 -4.953611234e+03
1.170000000e+04 -4.942503879e+03
1.170000000e+04 -4.931396523e+03
1.170000000e+04 -4.920289167e+03
1.170000000e+04 -4.909181812e+03
1.170000000e+04 -4.898074456e+03
1.170000000e+04 -4.886967100e+03
1.170000000e+04 -4.875859745e+03
1.170000000e+04 -4.864752389e+03
1.170000000e+04 -4.853645033e+03
1.170000000e+04 -4.842537678e+03
1.170000000e+04 -4.831430322e+03
1.170000000e+04 -4.820322966e+03
1.170000000e+04 -4.809215611e+03
1.170000000e+04 -4.798108255e+03
1.170000000e+04 -4.787000899e+03
1.170000000e+04 -4.775893543e+03
1.170000000e+04 -4.764786188e+03
1.170000000e+04 -4.753678832e+03
1.170000000e+04 -4.742571476e+03
1.170000000e+04 -4.731464121e+03
1.170000000e+04 -4.720356765e+03
1.170000000e+04 -4.709249409e+03
1.170000000e+04 -4.698142054e+03
1.170000000e+04 -4.687034698e+03
1.170000000e+04 -4.675927342e+03
1.170000000e+04 -4.664819987e+03
1.170000000e+04 -4.653712631e+03
1.170000000e+04 -4.642605275e+03
1.170000000e+04 -4.631497919e+03
1.170000000e+04 -4.620390564e+03
1.170000000e+04 -4.609283208e+03
1.170000000e+04 -4.598175852e+03
1.170000000e+04 -4.587068497e+03
1.170000000e+04 -4.575961141e+03
1.170000000e+04 -4.564853785e+03
1.170000000e+04 -4.553746430e+03
1.170000000e+04 -4.542639074e+03
1.170000000e+04 -4.531531718e+03
1.170000000e+04 -4.520424363e+03
1.170000000e+04 -4.509317007e+03
1.170000000e+04 -4.498209651e+03
1.170000000e+04 -4.487102295e+03
1.170000000e+04 -4.475994940e+03
1.170000000e+04 -4.464887584e+03
1.170000000e+04 -4.453780228e+03
1.170000000e+04 -4.442672873e+03
1.170000000e+04 -4.431565517e+03
1.170000000e+04 -4.420458161e+03
1.170000000e+04 -4.409350806e+03
1.170000000e+04 -4.398243450e+03
1.170000000e+04 -4.387136094e+03
1.170000000e+04 -4.376028739e+03
1.170000000e+04 -4.364921383e+03
1.170000000e+04 -4.353814027e+03
1.170000000e+04 -4.342706672e+03
1.170000000e+04 -4.331599316e+03
1.170000000e+04 -4.320491960e+03
1.170000000e+04 -4.309384604e+03
1.170000000e+04 -4.298277249e+03
1.170000000e+04 -4.287169893e+03
1.170000000e+04 -4.276062537e+03
1.170000000e+04 -4.264955182e+03
1.170000000e+04 -4.253847826e+03
1.170000000e+04 -4.242740470e+03
1.170000000e+04 -4.231633115e+03
1.170000000e+04 -4.220525759e+03
1.170000000e+04 -4.209418403e+03
1.170000000e+04 -4.198311048e+03
1.170000000e+04 -4.187203692e+03
1.170000000e+04 -4.176096336e+03
1.170000000e+04 -4.164988980e+03
1.170000000e+04 -4.153881625e+03
1.170000000e+04 -4.142774269e+03
1.170000000e+04 -4.131666913e+03
1.170000000e+04 -4.120559558e+03
1.170000000e+04 -4.109452202e+03
1.170000000e+04 -4.098344846e+03
1.170000000e+04 -4.087237491e+03
1.170000000e+04 -4.076130135e+03
1.170000000e+04 -4.065022779e+03
1.170000000e+04 -4.053915424e+03
1.170000000e+04 -4.042808068e+03
1.170000000e+04 -4.031700712e+03
1.170000000e+04 -4.020593357e+03
1.170000000e+04 -4.009486001e+03
1.170000000e+04 -3.998378645e+03
1.170000000e+04 -3.987271289e+03
1.170000000e+04 -3.976163934e+03
1.170000000e+04 -3.965056578e+03
1.170000000e+04 -3.953949222e+03
1.170000000e+04 -3.942841867e+03
1.170000000e+04 -3.931734511e+03
1.170000000e+04 -3.920627155e+03
1.170000000e+04 -3.909519800e+03
1.170000000e+04 -3.898412444e+03
1.170000000e+04 -3.887305088e+03
1.170000000e+04 -3.876197733e+03
1.170000000e+04 -3.865090377e+03
1.170000000e+04 -3.853983021e+03
1.170000000e+04 -3.842875665e+03
1.170000000e+04 -3.831768310e+03
1.170000000e+04 -3.820660954e+03
1.170000000e+04 -3.809553598e+03
1.170000000e+04 -3.798446243e+03
1.170000000e+04 -3.787338887e+03
1.170000000e+04 -3.776231531e+03
1.170000000e+04 -3.765124176e+03
1.170000000e+04 -3.754016820e+03
1.170000000e+04 -3.742909464e+03
1.170000000e+04 -3.731802109e+03
1.170000000e+04 -3.720694753e+03
1.170000000e+04 -3.709587397e+03
1.170000000e+04 -3.698480041e+03
1.170000000e+04 -3.687372686e+03
1.170000000e+04 -3.676265330e+03
1.170000000e+04 -3.665157974e+03
1.170000000e+04 -3.654050619e+03
1.170000000e+04 -3.642943263e+03
1.170000000e+04 -3.631835907e+03
1.170000000e+04 -3.620728552e+03
1.170000000e+04 -3.609621196e+03
1.170000000e+04 -3.598513840e+03
1.170000000e+04 -3.587406485e+03
1.170000000e+04 -3.576299129e+03
1.170000000e+04 -3.565191773e+03
1.170000000e+04 -3.554084418e+03
1.170000000e+04 -3.542977062e+03
1.170000000e+04 -3.531869706e+03
1.170000000e+04 -3.520762350e+03
1.170000000e+04 -3.509654995e+03
1.170000000e+04 -3.498547639e+03
1.170000000e+04 -3.487440283e+03
1.170000000e+04 -3.476332928e+03
1.170000000e+04 -3.465225572e+03
1.170000000e+04 -3.454118216e+03
1.170000000e+04 -3.443010861e+03
1.170000000e+04 -3.431903505e+03
1.170000000e+04 -3.420796149e+03
1.170000000e+04 -3.409688794e+03
1.170000000e+04 -3.398581438e+03
1.170000000e+04 -3.387474082e+03
1.170000000e+04 -3.376366726e+03
1.170000000e+04 -3.365259371e+03
1.170000000e+04 -3.354152015e+03
1.170000000e+04 -3.343044659e+03
1.170000000e+04 -3.331937304e+03
1.170000000e+04 -3.320829948e+03
1.170000000e+04 -3.309722592e+03
1.170000000e+04 -3.298615237e+03
1.170000000e+04 -3.287507881e+03
1.170000000e+04 -3.276400525e+03
1.170000000e+04 -3.265293170e+03
1.170000000e+04 -3.254185814e+03
1.170000000e+04 -3.243078458e+03
1.170000000e+04 -3.231971103e+03
1.170000000e+04 -3.220863747e+03
1.170000000e+04 -3.209756391e+03
1.170000000e+04 -3.198649035e+03
1.170000000e+04 -3.187541680e+03
1.170000000e+04 -3.176434324e+03
1.170000000e+04 -3.165326968e+03
1.170000000e+04 -3.154219613e+03
1.170000000e+04 -3.143112257e+03
1.170000000e+04 -3.132004901e+03
1.170000000e+04 -3.120897546e+03
1.170000000e+04 -3.109790190e+03
1.170000000e+04 -3.098682834e+03
1.170000000e+04 -3.087575479e+03
1.170000000e+04 -3.076468123e+03
1.170000000e+04 -3.065360767e+03
1.170000000e+04 -3.054253411e+03
1.170000000e+04 -3.043146056e+03
1.170000000e+04 -3.032038700e+03
1.170000000e+04 -3.020931344e+03
1.170000000e+04 -3.009823989e+03
1.170000000e+04 -2.998716633e+03
1.170000000e+04 -2.987609277e+03
1.170000000e+04 -2.976501922e+03
1.170000000e+04 -2.965394566e+03
1.170000000e+04 -2.954287210e+03
1.170000000e+04 -2.943179855e+03
1.170000000e+04 -2.932072499e+03
1.170000000e+04 -2.920965143e+03
1.170000000e+04 -2.909857787e+03
1.170000000e+04 -2.898750432e+03
1.170000000e+04 -2.887643076e+03
1.170000000e+04 -2.876535720e+03
1.170000000e+04 -2.865428365e+03
1.170000000e+04 -2.854321009e+03
1.170000000e+04 -2.843213653e+03
1.170000000e+04 -2.832106298e+03
1.170000000e+04 -2.820998942e+03
1.170000000e+04 -2.809891586e+03
1.170000000e+04 -2.798784231e+03
1.170000000e+04 -2.787676875e+03
1.170000000e+04 -2.776569519e+03
1.170000000e+04 -2.765462164e+03
1.170000000e+04 -2.754354808e+03
1.170000000e+04 -2.743247452e+03
1.170000000e+04 -2.732140096e+03
1.170000000e+04 -2.721032741e+03
1.170000000e+04 -2.709925385e+03
1.170000000e+04 -2.698818029e+03
1.170000000e+04 -2.687710674e+03
1.170000000e+04 -2.676603318e+03
1.170000000e+04 -2.665495962e+03
1.170000000e+04 -2.654388607e+03
1.170000000e+04 -2.643281251e+03
1.170000000e+04 -2.632173895e+03
1.170000000e+04 -2.621066540e+03
1.170000000e+04 -2.609959184e+03
1.170000000e+04 -2.598851828e+03
1.170000000e+04 -2.587744472e+03
1.170000000e+04 -2.576637117e+03
1.170000000e+04 -2.565529761e+03
1.170000000e+04 -2.554422405e+03
1.170000000e+04 -2.543315050e+03
