# nz number
250
# bx coords
9.652270681e-01 0.000000000e+00
1.079319820e+00 1.113097061e+01
1.205523157e+00 2.226181035e+01
1.344961800e+00 3.339249210e+01
1.498847091e+00 4.452298348e+01
1.668481781e+00 5.565324589e+01
1.855264878e+00 6.678323396e+01
2.060696530e+00 7.791289384e+01
2.286382923e+00 8.904216231e+01
2.534375021e+00 1.001709570e+02
2.808231773e+00 1.112991451e+02
3.108197044e+00 1.224266582e+02
3.436378930e+00 1.335533730e+02
3.795015992e+00 1.446791463e+02
4.186481219e+00 1.558038116e+02
4.613285661e+00 1.669271769e+02
5.078081622e+00 1.780490202e+02
5.583665351e+00 1.891690864e+02
6.134082192e+00 2.002870260e+02
6.734845187e+00 2.114023563e+02
7.386225940e+00 2.225148276e+02
8.091641255e+00 2.336239924e+02
8.854653126e+00 2.447293440e+02
9.678965753e+00 2.558303095e+02
1.056842124e+01 2.669262440e+02
1.152699381e+01 2.780164236e+02
1.255878242e+01 2.891000385e+02
1.366919131e+01 3.001760622e+02
1.486779591e+01 3.112428832e+02
1.615323885e+01 3.222999314e+02
1.753000867e+01 3.333459594e+02
1.900264619e+01 3.443795985e+02
2.057572405e+01 3.553993540e+02
2.225382419e+01 3.664036005e+02
2.404151290e+01 3.773905784e+02
2.594331375e+01 3.883583919e+02
2.796367856e+01 3.993050089e+02
3.010941102e+01 4.102277648e+02
3.238987265e+01 4.211231755e+02
3.480181247e+01 4.319901904e+02
3.734898479e+01 4.428262641e+02
4.003489481e+01 4.536287514e+02
4.286276432e+01 4.643949223e+02
4.583549850e+01 4.751219797e+02
4.895565434e+01 4.858070792e+02
5.222541148e+01 4.964473526e+02
5.564654599e+01 5.070399326e+02
5.922040788e+01 5.175819801e+02
6.294790275e+01 5.280707127e+02
6.682947826e+01 5.385034338e+02
7.086511582e+01 5.488775629e+02
7.505432768e+01 5.591906648e+02
7.939615961e+01 5.694404781e+02
8.388919933e+01 5.796249422e+02
8.853159037e+01 5.897422219e+02
9.332105108e+01 5.997907291e+02
9.825489843e+01 6.097691414e+02
1.033300760e+02 6.196764162e+02
1.085431857e+02 6.295118019e+02
1.138905213e+02 6.392748434e+02
1.193681055e+02 6.489653846e+02
1.249717267e+02 6.585835659e+02
1.306969770e+02 6.681298184e+02
1.365392892e+02 6.776048537e+02
1.424939729e+02 6.870096508e+02
1.485562495e+02 6.963454410e+02
1.547212835e+02 7.056136894e+02
1.609842126e+02 7.148160758e+02
1.673401741e+02 7.239544741e+02
1.737843280e+02 7.330309312e+02
1.803118772e+02 7.420476467e+02
1.869180844e+02 7.510069519e+02
1.935990771e+02 7.599106915e+02
2.003582474e+02 7.687552248e+02
2.071813927e+02 7.775504455e+02
2.140639446e+02 7.862992309e+02
2.210014348e+02 7.950045141e+02
2.279894939e+02 8.036692715e+02
2.350238484e+02 8.122965136e+02
2.421003147e+02 8.208892787e+02
2.492173289e+02 8.294485094e+02
2.563711799e+02 8.379769669e+02
2.635530535e+02 8.464818294e+02
2.707588878e+02 8.549664030e+02
2.779846560e+02 8.634340146e+02
2.852263484e+02 8.718880193e+02
2.924799529e+02 8.803318097e+02
2.997417111e+02 8.887685897e+02
3.070050932e+02 8.972039724e+02
3.142654978e+02 9.056419180e+02
3.215185581e+02 9.140861749e+02
3.287597767e+02 9.225405850e+02
3.359844918e+02 9.310091034e+02
3.431858059e+02 9.394975381e+02
3.503548016e+02 9.480132793e+02
3.574891876e+02 9.565580121e+02
3.645831864e+02 9.651362756e+02
3.716306390e+02 9.737527964e+02
3.786249457e+02 9.824125068e+02
3.855590024e+02 9.911205622e+02
3.924239349e+02 9.998832799e+02
3.992003259e+02 1.008714638e+03
4.058893724e+02 1.017612233e+03
4.124813535e+02 1.026581876e+03
4.189656783e+02 1.035629556e+03
4.253307951e+02 1.044761410e+03
4.315640989e+02 1.053983680e+03
4.376518394e+02 1.063302637e+03
4.435790353e+02 1.072724499e+03
4.493293983e+02 1.082255308e+03
4.548852761e+02 1.091900781e+03
4.602276217e+02 1.101666131e+03
4.653360000e+02 1.111555851e+03
4.701886457e+02 1.121573465e+03
4.747625838e+02 1.131721252e+03
4.790338276e+02 1.141999948e+03
4.829776666e+02 1.152408443e+03
4.865690519e+02 1.162943493e+03
4.897830834e+02 1.173599460e+03
4.925955918e+02 1.184368122e+03
4.949838004e+02 1.195238572e+03
4.969270377e+02 1.206197237e+03
4.984074617e+02 1.217228037e+03
4.994107462e+02 1.228312696e+03
4.999266762e+02 1.239431191e+03
4.999269553e+02 1.250561885e+03
4.994113022e+02 1.261680398e+03
4.984082905e+02 1.272765086e+03
4.969281331e+02 1.283795926e+03
4.949851547e+02 1.294754641e+03
4.925971957e+02 1.305625150e+03
4.897849263e+02 1.316393879e+03
4.865711222e+02 1.327049920e+03
4.829799520e+02 1.337585049e+03
4.790363153e+02 1.347993628e+03
4.747652608e+02 1.358272410e+03
4.701914989e+02 1.368420285e+03
4.653390164e+02 1.378437988e+03
4.602307884e+02 1.388327798e+03
4.548885809e+02 1.398093236e+03
4.493328290e+02 1.407738796e+03
4.435825805e+02 1.417269689e+03
4.376554882e+02 1.426691633e+03
4.315678406e+02 1.436010671e+03
4.253346198e+02 1.445233016e+03
4.189695765e+02 1.454364944e+03
4.124853164e+02 1.463412693e+03
4.058933915e+02 1.472382402e+03
3.992043932e+02 1.481280060e+03
3.924280428e+02 1.490111477e+03
3.855630965e+02 1.498874212e+03
3.786290726e+02 1.507582323e+03
3.716347919e+02 1.516242085e+03
3.645873589e+02 1.524858654e+03
3.574933735e+02 1.533436963e+03
3.503589953e+02 1.541981737e+03
3.431900018e+02 1.550497516e+03
3.359886691e+02 1.558985973e+03
3.287639503e+02 1.567454527e+03
3.215227229e+02 1.575908969e+03
3.142696490e+02 1.584353256e+03
3.070092262e+02 1.592791228e+03
2.997458215e+02 1.601226635e+03
2.924840410e+02 1.609663441e+03
2.852304091e+02 1.618107253e+03
2.779886851e+02 1.626561278e+03
2.707628813e+02 1.635028908e+03
2.635570076e+02 1.643513497e+03
2.563750909e+02 1.652018373e+03
2.492211933e+02 1.660546843e+03
2.421041533e+02 1.669106105e+03
2.350276364e+02 1.677698882e+03
2.279932281e+02 1.686326134e+03
2.210051120e+02 1.694990900e+03
2.140675617e+02 1.703696192e+03
2.071849466e+02 1.712444985e+03
2.003617354e+02 1.721240212e+03
1.936024965e+02 1.730084752e+03
1.869214754e+02 1.738988529e+03
1.803151968e+02 1.747947841e+03
1.737875737e+02 1.756964564e+03
1.673433437e+02 1.766041028e+03
1.609873040e+02 1.775179434e+03
1.547242947e+02 1.784381829e+03
1.485591787e+02 1.793650086e+03
1.424968186e+02 1.802985886e+03
1.365420498e+02 1.812390694e+03
